,Country,Happiness Score_x_x,Economy (GDP)_x_x,Family (Social Support)_x_x,Freedom_x_x,Generosity_x_x,Year_x_x,Happiness Score_y_x,Economy (GDP)_y_x,Family (Social Support)_y_x,Freedom_y_x,Generosity_y_x,Year_y_x,Happiness Score_x_y,Economy (GDP)_x_y,Family (Social Support)_x_y,Freedom_x_y,Generosity_x_y,Generosity_x_y,Year_x_y,Happiness Score_y_y,Economy (GDP)_y_y,Family (Social Support)_y_y,Freedom_y_y,Generosity_y_y,Generosity_y_y,Year_y_y,Happiness Score,Economy (GDP),Family (Social Support),Freedom,Generosity,Year
47,Ecuador,5.973,0.889,1.33,0.556,0.114,2018,6.028,0.912,1.312,0.498,0.126,2019,5.925199986,0.853383601,1.221027613,0.555234551,-0.127014965,0.115006477,2020,5.764,0.935,0.806,0.56,-0.124,0.107,2021,5.533,"1,352","0,879",0.565,"0,080",2022
49,Lithuania,5.952,1.197,1.527,0.35,0.026,2018,6.149,1.238,1.515,0.291,0.043,2019,6.215499878,1.193559647,1.432865739,0.42046079,-0.219725296,0.053691041,2020,6.255,1.35,1.065,0.476,-0.203,0.056,2021,6.446,"1,804","1,204",0.496,"0,053",2022
50,Slovenia,5.948,1.219,1.506,0.633,0.16,2018,6.118,1.258,1.523,0.564,0.144,2019,6.363399982,1.208652496,1.464677691,0.646700144,-0.080603383,0.145701498,2020,6.461,1.36,1.093,0.69,-0.101,0.122,2021,6.63,"1,810","1,249",0.685,"0,118",2022
51,Romania,5.945,1.116,1.219,0.528,0.088,2018,6.07,1.162,1.232,0.462,0.083,2019,6.123700142,1.120401621,1.1944381,0.534852326,-0.19781521,0.068181619,2020,6.14,1.275,0.832,0.564,-0.219,0.045,2021,6.477,"1,719","1,006",0.605,"0,039",2022
52,Latvia,5.933,1.148,1.454,0.363,0.092,2018,5.94,1.187,1.465,0.264,0.075,2019,5.949999809,1.14139545,1.414398789,0.329198807,-0.186888844,0.075407945,2020,6.032,1.285,1.047,0.405,-0.162,0.082,2021,6.18,"1,732","1,221",0.502,"0,075",2022
53,Japan,5.915,1.294,1.462,0.553,0.079,2018,5.886,1.327,1.419,0.445,0.069,2019,5.870800018,1.26672411,1.332338691,0.495465875,-0.246910349,0.03571178,2020,5.94,1.389,0.949,0.504,-0.258,0.02,2021,6.039,"1,835","1,089",0.537,"0,007",2022
54,Mauritius,5.891,1.09,1.387,0.584,0.245,2018,5.888,1.12,1.402,0.498,0.215,2019,6.101299763,1.07366395,1.395666838,0.590838134,-0.018318573,0.186894551,2020,6.049,1.178,0.996,0.59,-0.054,0.153,2021,6.071,"1,591","1,116",0.589,"0,131",2022
55,Jamaica,5.89,0.819,1.493,0.575,0.096,2018,5.89,0.831,1.478,0.49,0.107,2019,5.889800072,0.779058397,1.408289194,0.553124607,-0.125106767,0.116268493,2020,6.309,0.891,0.932,0.618,-0.137,0.099,2021,5.85,"1,296","1,045",0.567,"0,080",2022
56,South Korea,5.875,1.266,1.204,0.244,0.175,2018,5.895,1.301,1.219,0.159,0.175,2019,5.872399807,1.245300651,1.133560538,0.25935635,-0.043404032,0.170303866,2020,5.845,1.403,0.758,0.353,-0.083,0.134,2021,5.935,"1,851","0,886",0.414,"0,111",2022
58,Russia,5.81,1.151,1.479,0.399,0.065,2018,5.648,1.183,1.452,0.334,0.082,2019,5.546000004,1.126999617,1.378644109,0.399499595,-0.151153743,0.099041916,2020,5.477,1.241,0.992,0.409,-0.111,0.115,2021,5.459,"1,685","1,095",0.401,"0,117",2022
